"forras","operativ_program","program","varos","nyertes","leiras","datum","osszeg","Jogallas","Megye","Kisterseg","Lako_nepesseg","roma_onkormanyzat","tipus","ev"
"EFOP-1.3.5-16","EFOP","Társadalmi szerepvállalás erősítése a közösségek fejlesztésével","Adács","Adácsi Szent Jakab Katolikus Általános Iskola és Sportiskola","Társadalmi szerepvállalás erősítése a közösségek fejlesztésével az Adácsi Szent Jakab Katolikus Általános Iskolában",2017-02-07,24.159502,"község","Heves","Gyöngyösi","2602","van","nem_hatranyos_helyzetu",2017
"GINOP-5.2.4-16","GINOP","Gyakornoki program pályakezdők támogatására","Adács","Benter-07 Fűrészáru Gyártó és Kereskedelmi Korlátolt Felelősségű Társaság","Gyakornoki program a Benter-07 Kft-nél",2017-02-16,2.514973,"község","Heves","Gyöngyösi","2602","van","nem_hatranyos_helyzetu",2017
"KÖFOP-1.2.1-VEKOP-16","KÖFOP","Csatlakoztatási konstrukció az önkormányzati ASP rendszer országos kiterjesztéséhez ","Adásztevel","ADÁSZTEVEL KÖZSÉG ÖNKORMÁNYZATA","ADÁSZTEVEL KÖZSÉG ÖNKORMÁNYZATA ASP KÖZPONTHOZ VALÓ CSATLAKOZÁSA",2016-11-17,5.985077,"község","Veszprém","Pápai","763","nincs","nem_hatranyos_helyzetu",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Aggtelek","Vetités.hu Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","Kelet-Magyarországi központ kiépítése a Vetités.hu Kft-nél",2016-06-02,21.085,"község","Borsod-Abaúj-Zemplén","Putnoki","555","nincs","LHHK",2016
"KÖFOP-1.2.1-VEKOP-16","KÖFOP","Csatlakoztatási konstrukció az önkormányzati ASP rendszer országos kiterjesztéséhez ","Aggtelek","AGGTELEK KÖZSÉG ÖNKORMÁNYZATA","AGGTELEK KÖZSÉG ÖNKORMÁNYZATA ASP KÖZPONTHOZ VALÓ CSATLAKOZÁSA",2016-11-17,5.999976,"község","Borsod-Abaúj-Zemplén","Putnoki","555","nincs","LHHK",2016
"GINOP-5.2.4-16","GINOP","Gyakornoki program pályakezdők támogatására","Agyagosszergény","Horváth Péter egyéni vállalkozó","Foglalkoztatás a gyakornoki program keretében Horváth Péter egyéni vállalkozónál",2017-01-05,2.959373,"község","Győr-Moson-Sopron","Kapuvári","937","nincs","nem_hatranyos_helyzetu",2017
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Ajak","ROYAL Bútor Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","Gyártó eszköz beszerzéssel kombinált beruházás a ROYAL Bútor Kft. fejlesztése érdekében",2016-01-20,12.595005,"város","Szabolcs-Szatmár-Bereg","Kisvárdai","3709","van","HH",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Ajak","""FLEX-PS 93"" Ipari Kereskedelmi és Szolgáltató Betéti Társaság","Előre kevert beton és betontermék gyártási kapacitás technológiai hátterének a kialakítása a ""FLEX-PS 93"" BT-nél",2016-06-02,34.097,"város","Szabolcs-Szatmár-Bereg","Kisvárdai","3709","van","HH",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Ajak","ADAMAS PLUS Korlátolt Felelősségű Társaság","Gyémántfeldolgozó kapacitás kiépítése az ADAMAS PLUS Kft-nél",2016-07-08,49.99999,"város","Szabolcs-Szatmár-Bereg","Kisvárdai","3709","van","HH",2016
"KÖFOP-1.2.1-VEKOP-16","KÖFOP","Csatlakoztatási konstrukció az önkormányzati ASP rendszer országos kiterjesztéséhez ","Ajak","Ajak Város Önkormányzata","Ajak Város Önkormányzata ASP KÖZPONTHOZ VALÓ CSATLAKOZÁSA",2016-11-17,7,"város","Szabolcs-Szatmár-Bereg","Kisvárdai","3709","van","HH",2016
