"forras","operativ_program","program","varos","nyertes","leiras","datum","osszeg","Jogallas","Megye","Kisterseg","Lako_nepesseg","roma_onkormanyzat","tipus","ev"
"KÖFOP-1.2.1-VEKOP-16","KÖFOP","Csatlakoztatási konstrukció az önkormányzati ASP rendszer országos kiterjesztéséhez ","Alattyán","ALATTYÁN KÖZSÉG ÖNKORMÁNYZATA","ALATTYÁN KÖZSÉG ÖNKORMÁNYZATA ASP KÖZPONTHOZ VALÓ CSATLAKOZÁSA",2016-11-17,6,"község","Jász-Nagykun-Szolnok","Jászapáti","1950","van","HH",2016
"EFOP-1.3.5-16","EFOP","Társadalmi szerepvállalás erősítése a közösségek fejlesztésével","Alattyán","""Várunk"" Alapítvány","„Társadalmi szerepvállalás erősítése az Alattyáni közösségek fejlesztésével”",2017-02-08,25,"község","Jász-Nagykun-Szolnok","Jászapáti","1950","van","HH",2017
"KEHOP-5.2.9-16","KEHOP","Pályázatos épületenergetikai felhívás a közép-magyarországi régió települési önkormányzatai számára","Albertirsa","ALBERTIRSA VÁROS ÖNKORMÁNYZATA","Albertirsa Önkormányzati épületeinek energetikai korszerűsítése",2017-02-21,129.521556,"város","Pest","Ceglédi","12188","van","nem_hatranyos_helyzetu",2017
"GINOP-1.2.1-14","GINOP","Mikro-, kis- és középvállalkozások termelési kapacitásainak bővítése","Algyő","METKON DS Ipari Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","""Termelési kapacitás bővítése lézervágó gép és lemezhengerítő gép beszerzésével a Metkon DS Kft.-nél.""",2015-06-04,92.40595,"nagyközség","Csongrád","Szegedi","5108","nincs","nem_hatranyos_helyzetu",2015
"GINOP-1.2.1-14","GINOP","Mikro-, kis- és középvállalkozások termelési kapacitásainak bővítése","Algyő","HÓD PLAST Műanyagipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","Kapacitásbővítés a Hód Plast Kft.-nél",2015-07-23,11.389692,"nagyközség","Csongrád","Szegedi","5108","nincs","nem_hatranyos_helyzetu",2015
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Algyő","ENERGIA Kazánjavító Korlátolt Felelősségű Társaság","Kapacitásbővítő beruházás az ENERGIA Kazánjavító Kft-nél",2016-01-20,15.750628,"nagyközség","Csongrád","Szegedi","5108","nincs","nem_hatranyos_helyzetu",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Algyő","INNOVARIANT Nyomdaipari Kft.","Termékcsomagolás gyártás bővítése az Innovariant Kft.-nél",2016-01-21,43.075623,"nagyközség","Csongrád","Szegedi","5108","nincs","nem_hatranyos_helyzetu",2016
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Algyő","HÓD PLAST Műanyagipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","Műanyagipari gyártáshoz kapcsolódó eszközbeszerzés a Hód Plast Kft.-nél",2017-01-03,16.316462,"nagyközség","Csongrád","Szegedi","5108","nincs","nem_hatranyos_helyzetu",2017
"GINOP-5.2.4-16","GINOP","Gyakornoki program pályakezdők támogatására","Algyő","ENERGIA Kazánjavitó Korlátolt Felelősségű Társaság","Pályakezdő gyakornok foglalkoztatása az Energia Kazánjavító Kft-nél",2017-01-05,3.29631,"nagyközség","Csongrád","Szegedi","5108","nincs","nem_hatranyos_helyzetu",2017
"GINOP-5.2.4-16","GINOP","Gyakornoki program pályakezdők támogatására","Algyő","HÓD PLAST Műanyagipari, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság","Gyakornoki program pályakezdők támogatására",2017-02-09,3.023344,"nagyközség","Csongrád","Szegedi","5108","nincs","nem_hatranyos_helyzetu",2017
"GINOP-5.2.4-16","GINOP","Gyakornoki program pályakezdők támogatására","Algyő","A-MEZŐGÉP Korlátolt Felelősségű Társaság","Gyakornoki program az A-MEZŐGÉP Kft.-nél",2017-02-09,3.485785,"nagyközség","Csongrád","Szegedi","5108","nincs","nem_hatranyos_helyzetu",2017
"GINOP-1.2.1-15","GINOP","Mikro, kis- és középvállalkozások termelési kapacitásainak bővítése","Almásfüzitő","H.I.X. Ipari Gyártó és Szolgáltató Korlátolt Felelősségű Társaság","A H.I.X. Kft. termelési kapacitásának bővítése",2015-12-21,63.854924,"község","Komárom-Esztergom","Komáromi","2090","nincs","nem_hatranyos_helyzetu",2015
"EFOP-1.3.5-16","EFOP","Társadalmi szerepvállalás erősítése a közösségek fejlesztésével","Almáskamarás","Medgyesegyháza és Bánkút Mozgáskorlátozottak Egyesülete","„Mozgásba hozva”",2017-02-08,25,"község","Békés","Mezőkovácsházai","852","nincs","LHHK",2017
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Alsóberecki","ALBA CHOPPER Korlátolt Felelősségű Társaság","Bútorgyártó üzem létesítése az Alba Chopper Kft-nél.",2016-05-30,21.09366,"község","Borsod-Abaúj-Zemplén","Sátoraljaújhelyi","698","nincs","LHHK",2016
"EFOP-1.3.5-16","EFOP","Társadalmi szerepvállalás erősítése a közösségek fejlesztésével","Alsómocsolád","Alapítvány Alsómocsoládért","Összefogásban az Észak-Hegyhátért",2017-02-07,24.955627,"község","Baranya","Hegyháti","284","nincs","LHHK",2017
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Alsónemesapáti","Kiss Zoltán egyéni vállalkozó","Kapacitásbővítés Kiss Zoltán egyéni vállalkozónál",2016-05-24,7.63605,"község","Zala","Zalaegerszegi","660","nincs","nem_hatranyos_helyzetu",2016
"KÖFOP-1.2.1-VEKOP-16","KÖFOP","Csatlakoztatási konstrukció az önkormányzati ASP rendszer országos kiterjesztéséhez ","Alsópáhok","ALSÓPÁHOK KÖZSÉG ÖNKORMÁNYZATA","ALSÓPÁHOK KÖZSÉG ÖNKORMÁNYZATA ASP KÖZPONTHOZ VALÓ CSATLAKOZÁSA",2016-11-17,6,"község","Zala","Keszthelyi","1329","nincs","nem_hatranyos_helyzetu",2016
"EFOP-1.3.5-16","EFOP","Társadalmi szerepvállalás erősítése a közösségek fejlesztésével","Alsópáhok","Alsópáhokért Közalapítvány","Alsópáhokért Közalapítvány a közösségi szerepvállalás erősítésért",2017-02-08,25,"község","Zala","Keszthelyi","1329","nincs","nem_hatranyos_helyzetu",2017
"GINOP-1.2.2-15","GINOP","Mikro-kis és középvállalkozások kapacitásbővítő beruházásainak támogatása","Alsóregmec","NEOPROJEKT Üzleti Tanácsadó Korlátolt Felelősségű Társaság","Papírtermék gyártás bevezetése a NEOPROJEKT Kft.-nél",2016-06-01,29.33,"község","Borsod-Abaúj-Zemplén","Sátoraljaújhelyi","166","nincs","HH",2016
"EFOP-1.2.1-15","EFOP","Védőháló a családokért","Alsószentmárton","Generáció Egyesület","Védőháló a siklósi kistérségben, Baranya megyében",2016-12-22,39.999,"község","Baranya","Siklósi","1272","van","HH",2016
"EFOP-1.3.5-16","EFOP","Társadalmi szerepvállalás erősítése a közösségek fejlesztésével","Alsószentmárton","Napforduló Szociális és Drog-prevenciós Egyesület","Társadalmi szerepvállalás erősítése Alsószentmártonban",2017-02-08,25,"község","Baranya","Siklósi","1272","van","HH",2017
"GINOP-1.2.1-14","GINOP","Mikro-, kis- és középvállalkozások termelési kapacitásainak bővítése","Alsószölnök","Rabacsa Metalltechnik Korlátolt Felelősségű Társaság","Lézervágó berendezés beszerzése a Rabacsa Kft.-nél a vállalkozás fejlesztése érdekében",2015-05-14,95.744844,"község","Vas","Szentgotthárdi","359","nincs","nem_hatranyos_helyzetu",2015
"GINOP-5.2.4-16","GINOP","Gyakornoki program pályakezdők támogatására","Alsószölnök","RABACSA METALLTECHNIK Korlátolt Felelősségű Társaság","Gyakornok foglalkoztatása",2017-01-05,2.94255,"község","Vas","Szentgotthárdi","359","nincs","nem_hatranyos_helyzetu",2017
"GINOP-2.1.1-15","GINOP","Vállalatok K+F+I tevékenységének támogatása","Alsózsolca","SW Umwelttechnik Magyarország Építőelemgyár Korlátolt Felelősségű Társaság","Az SW Umwelttechnik Magyarország Kft. alsózsolcai telephelyén térburkolatok innovációs fejlesztése",2016-08-25,997.426362,"város","Borsod-Abaúj-Zemplén","Miskolci","5606","van","nem_hatranyos_helyzetu",2016
"GINOP-2.1.1-15","GINOP","Vállalatok K+F+I tevékenységének támogatása","Alsózsolca","ABA-CEMENT Kereskedelmi Korlátolt Felelősségű Társaság","Puccolán cement új gyártási technológiájának kifejlesztése.",2016-08-25,120.499932,"város","Borsod-Abaúj-Zemplén","Miskolci","5606","van","nem_hatranyos_helyzetu",2016
"GINOP-5.2.4-16","GINOP","Gyakornoki program pályakezdők támogatására","Alsózsolca","Balla Bútor Gyártó és Kereskedelmi Kft.","Gyakornok foglalkoztatása a Balla Bútor Kft-nél",2017-02-09,3.668875,"város","Borsod-Abaúj-Zemplén","Miskolci","5606","van","nem_hatranyos_helyzetu",2017
"GINOP-7.1.2-15","GINOP","Aktív turisztikai hálózatok infrastruktúrájának fejlesztése","Alsóörs","Kerékpáros Magyarország Szövetség ","Balatoni Kerékpáros Turisztikai Hálózat, attrakciók és megállóhelyek kialakítása – 2. ütem ",2016-12-19,715.474005,"község","Veszprém","Balatonfüredi","1653","nincs","nem_hatranyos_helyzetu",2016
"KEHOP-2.2.2-15","KEHOP","Felhívás a fejlesztési kötelezettséggel rendelkező települések számára szennyvízelvezetéssel és -kezeléssel kapcsolatos fejlesztések megvalósítására","Alsóújlak","NFP Nemzeti Fejlesztési Programiroda Nonprofit Korlátolt Felelősségű Társaság","Vasvár központú agglomeráció szennyvíztisztító telepének fejlesztése és szennyvízhálózatának bővítése",2016-05-24,388.999971,"község","Vas","Vasvári","593","nincs","HH",2016
